group,filename,n,m,t,opt,lower,upper
IND,ind1.stp,18,31,10,604,604,604
IND,ind2.stp,31,57,10,9500,9500,9500
IND,ind3.stp,16,23,10,600,600,600
IND,ind4.stp,74,146,25,1086,1086,1086
IND,ind5.stp,114,228,33,1341,1341,1341
RC,rc01.stp,21,35,10,25980,25980,25980
RC,rc02.stp,87,176,30,41350,41350,41350
RC,rc03.stp,109,202,50,54160,54160,54160
RC,rc04.stp,121,197,70,59070,59070,59070
RC,rc05.stp,247,486,100,74070,74070,74070
RC,rc06.stp,2502,6244,100,79714,79714,79714
RC,rc07.stp,2740,6578,200,108740,108740,108740
RC,rc08.stp,7527,18170,200,112564,112564,112564
RC,rc09.stp,6128,15264,200,111005,111005,111005
RC,rc10.stp,1572,3245,500,164150,164150,164150
RC,rc11.stp,2858,5819,1000,230837,230837,230837
RT,rt01.stp,262,740,10,2146,2146,2146
RT,rt02.stp,788,1938,50,45852,45852,45852
RT,rt03.stp,1725,4092,100,7964,7964,7964
RT,rt04.stp,9469,22743,100,9693,9693,9693
RT,rt05.stp,15473,38928,200,51313,51313,51313
