group,filename,n,m,t,opt,lower,upper
R100KEFST,R100K01EFST.stp,157869,191586,100000,-1,198.30618792184407084278,198.30714196163705764775
R100KEFST,R100K02EFST.stp,158031,191997,100000,-1,197.96950012452029454835,197.97077166218528532227
R100KEFST,R100K03EFST.stp,158290,192495,100000,-1,198.02209984580323975933,198.02268201300205419102
R100KEFST,R100K04EFST.stp,158205,192646,100000,-1,198.18937285641371204292,198.18970942103581478477
R100KEFST,R100K05EFST.stp,158587,193323,100000,-1,198.15227707417156466363,198.15424214599823926619
R100KEFST,R100K06EFST.stp,158514,193043,100000,-1,198.17429881400133240277,198.17488861837983904479
R100KEFST,R100K07EFST.stp,157947,191648,100000,-1,197.87720014189943640304,197.87930195125869659023
R100KEFST,R100K08EFST.stp,157839,191202,100000,197.9944334426296,197.9944334426296,197.9944334426296
R100KEFST,R100K09EFST.stp,158069,191735,100000,198.1358320449795,198.1358320449795,198.1358320449795
R100KEFST,R100K10EFST.stp,158575,193172,100000,-1,198.03909190766952974627,198.04084341650698775084
R100KEFST,R100K11EFST.stp,158265,192745,100000,-1,198.13590213157925745691,198.13694891968620481748
R100KEFST,R100K12EFST.stp,157806,191176,100000,-1,198.38401807733134774026,198.38518492564841722015
R100KEFST,R100K13EFST.stp,157660,190731,100000,198.0535436970245,198.0535436970245,198.0535436970245
R100KEFST,R100K14EFST.stp,158516,193331,100000,-1,198.22592767163726534818,198.22831393343173544963
R100KEFST,R100K15EFST.stp,158033,192022,100000,-1,198.27303096961344408555,198.27537296181955639440
R25KEFST,R25K01EFST.stp,39277,47262,25000,98.96121333894507,98.96121333894507,98.96121333894507
R25KEFST,R25K02EFST.stp,39306,47489,25000,99.03708781105209,99.03708781105209,99.03708781105209
R25KEFST,R25K03EFST.stp,39549,48174,25000,99.21572074715155,99.21572074715155,99.21572074715155
R25KEFST,R25K04EFST.stp,39555,48130,25000,98.94313918821600,98.94313918821600,98.94313918821600
R25KEFST,R25K05EFST.stp,39153,46903,25000,99.49123207478330,99.49123207478330,99.49123207478330
R25KEFST,R25K06EFST.stp,39438,47845,25000,99.37287664562776,99.37287664562776,99.37287664562776
R25KEFST,R25K07EFST.stp,39900,49090,25000,99.56461049208514,99.56461049208514,99.56461049208514
R25KEFST,R25K08EFST.stp,39529,47960,25000,99.26620160525238,99.26620160525238,99.26620160525238
R25KEFST,R25K09EFST.stp,39732,48530,25000,99.09686362762410,99.09686362762410,99.09686362762410
R25KEFST,R25K10EFST.stp,39248,47334,25000,99.11048009775006,99.11048009775006,99.11048009775006
R25KEFST,R25K11EFST.stp,39425,47735,25000,99.12163446959109,99.12163446959109,99.12163446959109
R25KEFST,R25K12EFST.stp,39293,47444,25000,99.11344466191877,99.11344466191877,99.11344466191877
R25KEFST,R25K13EFST.stp,39284,47385,25000,99.40055256617580,99.40055256617580,99.40055256617580
R25KEFST,R25K14EFST.stp,40063,49267,25000,99.20464143208348,99.20464143208348,99.20464143208348
R25KEFST,R25K15EFST.stp,39498,47852,25000,99.25213240520344,99.25213240520344,99.25213240520344
R50KEFST,R50K01EFST.stp,79505,97373,50000,-1,140.39836924047830279960,140.39897247362083021471
R50KEFST,R50K02EFST.stp,78754,95363,50000,139.9557805927743,139.9557805927743,139.9557805927743
R50KEFST,R50K03EFST.stp,78964,95679,50000,140.0064124238540,140.0064124238540,140.0064124238540
R50KEFST,R50K04EFST.stp,78983,95742,50000,-1,140.09286893890387659667,140.09442880999947078635
R50KEFST,R50K05EFST.stp,79200,96709,50000,-1,139.99490604065618981622,139.99562158577595027964
R50KEFST,R50K06EFST.stp,79480,97372,50000,140.3485415192481,140.3485415192481,140.3485415192481
R50KEFST,R50K07EFST.stp,79046,96114,50000,140.2495816594403,140.2495816594403,140.2495816594403
R50KEFST,R50K08EFST.stp,79175,96411,50000,140.3511467792673,140.3511467792673,140.3511467792673
