group,filename,n,m,t,opt,lower,upper
R100KEFSTINT,R100K01EFSTINT.stp,157869,191586,100000,,0,1994045577565532303
R100KEFSTINT,R100K02EFSTINT.stp,158031,191997,100000,,0,1990408466013765883
R100KEFSTINT,R100K03EFSTINT.stp,158290,192495,100000,,0,1990954562345754443
R100KEFSTINT,R100K04EFSTINT.stp,158205,192646,100000,,0,1993106558995684302
R100KEFSTINT,R100K05EFSTINT.stp,158587,193323,100000,,0,1992419531190475051
R100KEFSTINT,R100K06EFSTINT.stp,158514,193043,100000,,0,1992682477315128090
R100KEFSTINT,R100K07EFSTINT.stp,157947,191648,100000,,0,1989552071824000595
R100KEFSTINT,R100K08EFSTINT.stp,157839,191202,100000,,0,1990606575592625174
R100KEFSTINT,R100K09EFSTINT.stp,158069,191735,100000,,0,1992154432409633036
R100KEFSTINT,R100K10EFSTINT.stp,158575,193172,100000,,0,1991332292370052209
R100KEFSTINT,R100K11EFSTINT.stp,158265,192745,100000,,0,1992276895990596369
R100KEFSTINT,R100K12EFSTINT.stp,157806,191176,100000,,0,1994381747468447013
R100KEFSTINT,R100K13EFSTINT.stp,157660,190731,100000,,0,1991366411509330493
R100KEFSTINT,R100K14EFSTINT.stp,158516,193331,100000,,0,1993435616195133722
R100KEFSTINT,R100K15EFSTINT.stp,158033,192022,100000,,0,1993506730194711812
R25KEFSTINT,R25K01EFSTINT.stp,39277,47262,25000,,0,9946989114717305452
R25KEFSTINT,R25K02EFSTINT.stp,39306,47489,25000,,0,9953938344328986723
R25KEFSTINT,R25K03EFSTINT.stp,39549,48174,25000,,0,9975959328432382033
R25KEFSTINT,R25K04EFSTINT.stp,39555,48130,25000,,0,9950258379769924841
R25KEFSTINT,R25K05EFSTINT.stp,39153,46903,25000,,0,9998606266614781558
R25KEFSTINT,R25K06EFSTINT.stp,39438,47845,25000,,0,9990027753032969295
R25KEFSTINT,R25K07EFSTINT.stp,39900,49090,25000,,0,10017422422657450101
R25KEFSTINT,R25K08EFSTINT.stp,39529,47960,25000,,0,9976869281873952832
R25KEFSTINT,R25K09EFSTINT.stp,39732,48530,25000,,0,9967081631428598781
R25KEFSTINT,R25K10EFSTINT.stp,39248,47334,25000,,0,9964815368926788079
R25KEFSTINT,R25K11EFSTINT.stp,39425,47735,25000,,0,9964728762608590276
R25KEFSTINT,R25K12EFSTINT.stp,39293,47444,25000,,0,9960469613513586464
R25KEFSTINT,R25K13EFSTINT.stp,39284,47385,25000,,0,9990850704423171657
R25KEFSTINT,R25K14EFSTINT.stp,40063,49267,25000,,0,9978068467020112520
R25KEFSTINT,R25K15EFSTINT.stp,39498,47852,25000,,0,9979989637721355584
R50KEFSTINT,R50K01EFSTINT.stp,79505,97373,50000,,0,14119955887695492329
R50KEFSTINT,R50K02EFSTINT.stp,78754,95363,50000,,0,14067986509390928156
R50KEFSTINT,R50K03EFSTINT.stp,78964,95679,50000,,0,14075015578341878648
R50KEFSTINT,R50K04EFSTINT.stp,78983,95742,50000,,0,14085577004454945268
R50KEFSTINT,R50K05EFSTINT.stp,79200,96709,50000,,0,14079052688291831149
R50KEFSTINT,R50K06EFSTINT.stp,79480,97372,50000,,0,14115017225755412553
R50KEFSTINT,R50K07EFSTINT.stp,79046,96114,50000,,0,14104513939346873542
R50KEFSTINT,R50K08EFSTINT.stp,79175,96411,50000,,0,14113884591852935904
R50KEFSTINT,R50K09EFSTINT.stp,78825,95476,50000,,0,14111654966723296070
R50KEFSTINT,R50K10EFSTINT.stp,78948,95870,50000,,0,14105772086992775572
R50KEFSTINT,R50K11EFSTINT.stp,79121,96304,50000,,0,14093919458927669768
R50KEFSTINT,R50K12EFSTINT.stp,79133,96384,50000,,0,14093267805716367928
R50KEFSTINT,R50K13EFSTINT.stp,78972,95674,50000,,0,14077172598408277498
R50KEFSTINT,R50K14EFSTINT.stp,79326,96720,50000,,0,14101661819122700261
R50KEFSTINT,R50K15EFSTINT.stp,79483,97207,50000,,0,14125827619819602787
TSPEFSTINT,ali535EFSTINT.stp,803,952,535,,0,1657492245923000946
TSPEFSTINT,att532EFSTINT.stp,845,1030,532,,0,7366713144607064364
TSPEFSTINT,brd14051EFSTINT.stp,25026,34255,14051,,0,4164080227642563047
TSPEFSTINT,d1291EFSTINT.stp,5780,12182,1291,,0,4697889691999119180
TSPEFSTINT,d15112EFSTINT.stp,26367,35224,15112,,0,13875846319788951729
TSPEFSTINT,d1655EFSTINT.stp,21499,44691,1655,,0,5605321432956879157
TSPEFSTINT,d18512EFSTINT.stp,33245,45913,18512,,0,5756600354053233363
TSPEFSTINT,d198EFSTINT.stp,577,1022,198,,0,11507657793618747944
TSPEFSTINT,d657EFSTINT.stp,1021,1222,657,,0,4148594370735111886
TSPEFSTINT,dsj1000EFSTINT.stp,1521,1761,1000,,0,15486240904598895443
TSPEFSTINT,fl1400EFSTINT.stp,344231,721509,1400,,0,1676194789017974082
TSPEFSTINT,fl1577EFSTINT.stp,131344,268515,1577,,0,1917305674364398945
TSPEFSTINT,fl417EFSTINT.stp,11319,24011,417,,0,10008471551820096624
TSPEFSTINT,fnl4461EFSTINT.stp,8163,11472,4461,,0,1635772670833691963
TSPEFSTINT,gr666EFSTINT.stp,1063,1291,666,,0,2542078533731810478
TSPEFSTINT,lin318EFSTINT.stp,738,1282,318,,0,3702173451656436889
TSPEFSTINT,nrw1379EFSTINT.stp,2587,3671,1379,,0,5046375523160503997
TSPEFSTINT,p654EFSTINT.stp,169195,351540,654,,0,2883977984867691393
TSPEFSTINT,pcb1173EFSTINT.stp,1759,2166,1173,,0,5004514883448949876
TSPEFSTINT,pcb3038EFSTINT.stp,8843,15986,3038,,0,12461586926733394418
TSPEFSTINT,pcb442EFSTINT.stp,6229,13345,442,,0,4567581818849844010
TSPEFSTINT,pr1002EFSTINT.stp,1540,1797,1002,,0,2181989870574279566
TSPEFSTINT,pr2392EFSTINT.stp,3920,5072,2392,,0,3319510642791874139
TSPEFSTINT,rat575EFSTINT.stp,998,1349,575,,0,6091061996168222672
TSPEFSTINT,rat783EFSTINT.stp,1327,1746,783,,0,7935965142979351294
TSPEFSTINT,rl11849EFSTINT.stp,28635,50114,11849,,0,8435498505587005305
TSPEFSTINT,rl1304EFSTINT.stp,1707,2010,1304,,0,2197291813041841691
TSPEFSTINT,rl1323EFSTINT.stp,1723,2004,1323,,0,2367589131454559457
TSPEFSTINT,rl1889EFSTINT.stp,2513,2931,1889,,0,2736370698947506148
TSPEFSTINT,rl5915EFSTINT.stp,9860,14924,5915,,0,5149753406086168351
TSPEFSTINT,rl5934EFSTINT.stp,10650,16671,5934,,0,5079724619296656040
TSPEFSTINT,u1060EFSTINT.stp,4076,7502,1060,,0,1902175156788780647
TSPEFSTINT,u1432EFSTINT.stp,141893,297238,1432,,0,14524497212170002127
TSPEFSTINT,u1817EFSTINT.stp,30750,65210,1817,,0,5446824823083896796
TSPEFSTINT,u2152EFSTINT.stp,70812,148347,2152,,0,6196010381423441622
TSPEFSTINT,u574EFSTINT.stp,917,1136,574,,0,3119303089776943927
TSPEFSTINT,u724EFSTINT.stp,1130,1327,724,,0,3683728604266270356
TSPEFSTINT,usa13509EFSTINT.stp,21212,26216,13509,,0,1736885156915037653
TSPEFSTINT,vm1084EFSTINT.stp,1506,1759,1084,,0,2041118682675233762
TSPEFSTINT,vm1748EFSTINT.stp,2482,2995,1748,,0,2876032754010913946
