group,filename,n,m,t,opt,lower,upper
PUCN,cc10-2n.stp,1024,5120,135,-1,0,202
PUCN,cc11-2n.stp,2048,11263,244,-1,0,371
PUCN,cc12-2n.stp,4096,24574,473,-1,0,704
PUCN,cc3-10n.stp,1000,13500,50,-1,0,81
PUCN,cc3-11n.stp,1331,19965,61,-1,0,100
PUCN,cc3-12n.stp,1728,28512,74,-1,0,124
PUCN,cc3-4n.stp,64,288,8,-1,0,13
PUCN,cc3-5n.stp,125,750,13,-1,0,21
PUCN,cc5-3n.stp,243,1215,27,-1,0,49
PUCN,cc6-2n.stp,64,192,12,-1,0,19
PUCN,cc6-3n.stp,729,4368,76,-1,0,111
PUCN,cc7-3n.stp,2187,15308,222,-1,0,327
PUCN,cc9-2n.stp,512,2304,64,-1,0,112
