group,filename,n,m,t,opt,lower,upper
1R,1r111.stp,625,2352,6,28000,28000,28000
1R,1r112.stp,625,2352,6,28000,28000,28000
1R,1r113.stp,625,2352,6,26000,26000,26000
1R,1r121.stp,625,2340,6,36000,36000,36000
1R,1r122.stp,625,2342,6,45000,45000,45000
1R,1r123.stp,625,2343,6,40000,40000,40000
1R,1r131.stp,625,2336,6,43000,43000,43000
1R,1r132.stp,625,2340,6,37000,37000,37000
1R,1r133.stp,625,2326,6,36000,36000,36000
1R,1r211.stp,625,2352,31,77000,77000,77000
1R,1r212.stp,625,2352,30,81000,81000,81000
1R,1r213.stp,625,2352,29,70000,70000,70000
1R,1r221.stp,625,2341,31,79000,79000,79000
1R,1r222.stp,625,2343,31,68000,68000,68000
1R,1r223.stp,625,2340,31,77000,77000,77000
1R,1r231.stp,625,2331,30,80000,80000,80000
1R,1r232.stp,625,2335,29,86000,86000,86000
1R,1r233.stp,625,2327,31,71000,71000,71000
1R,1r311.stp,625,2352,56,108000,108000,108000
1R,1r312.stp,625,2352,60,113000,113000,113000
1R,1r313.stp,625,2352,58,106000,106000,106000
1R,1r321.stp,625,2338,59,118000,118000,118000
1R,1r322.stp,625,2336,60,113000,113000,113000
1R,1r323.stp,625,2341,60,117000,117000,117000
1R,1r331.stp,625,2319,58,103000,103000,103000
1R,1r332.stp,625,2333,58,109000,109000,109000
1R,1r333.stp,625,2331,58,113000,113000,113000
2R,2r111.stp,1000,5800,9,28000,28000,28000
2R,2r112.stp,1000,5800,9,32000,32000,32000
2R,2r113.stp,1000,5800,9,28000,28000,28000
2R,2r121.stp,1000,5766,9,28000,28000,28000
2R,2r122.stp,1000,5772,9,29000,29000,29000
2R,2r123.stp,1000,5754,9,25000,25000,25000
2R,2r131.stp,1000,5726,9,27000,27000,27000
2R,2r132.stp,1000,5725,9,33000,33000,33000
2R,2r133.stp,1000,5729,9,29000,29000,29000
2R,2r211.stp,1000,5800,50,89000,89000,89000
2R,2r212.stp,1000,5800,49,80000,80000,80000
2R,2r213.stp,1000,5800,48,76000,76000,76000
2R,2r221.stp,1000,5764,50,83000,83000,83000
2R,2r222.stp,1000,5765,50,84000,84000,84000
2R,2r223.stp,1000,5770,49,84000,84000,84000
2R,2r231.stp,1000,5737,50,86000,86000,86000
2R,2r232.stp,1000,5733,49,87000,87000,87000
2R,2r233.stp,1000,5730,47,83000,83000,83000
2R,2r311.stp,1000,5800,95,129000,129000,129000
2R,2r312.stp,1000,5800,92,126000,126000,126000
2R,2r313.stp,1000,5800,97,128000,128000,128000
2R,2r321.stp,1000,5771,92,125000,125000,125000
2R,2r322.stp,1000,5753,92,130000,130000,130000
2R,2r323.stp,1000,5764,96,142000,142000,142000
2R,2r331.stp,1000,5736,93,134000,134000,134000
2R,2r332.stp,1000,5745,95,136000,136000,136000
2R,2r333.stp,1000,5741,98,143000,143000,143000
ALUE,alue2087.stp,1244,1971,34,1049,1049,1049
ALUE,alue2105.stp,1220,1858,34,1032,1032,1032
ALUE,alue3146.stp,3626,5869,64,2240,2240,2240
ALUE,alue5067.stp,3524,5560,68,2586,2586,2586
ALUE,alue5345.stp,5179,8165,68,3507,3507,3507
ALUE,alue5623.stp,4472,6938,68,3413,3413,3413
ALUE,alue5901.stp,11543,18429,68,3912,3912,3912
ALUE,alue6179.stp,3372,5213,67,2452,2452,2452
ALUE,alue6457.stp,3932,6137,68,3057,3057,3057
ALUE,alue6735.stp,4119,6696,68,2696,2696,2696
ALUE,alue6951.stp,2818,4419,67,2386,2386,2386
ALUE,alue7065.stp,34046,54841,544,23881,23881,23881
ALUE,alue7066.stp,6405,10454,16,2256,2256,2256
