group,filename,n,m,t,opt,lower,upper
vienna-geo-advanced,G101a.stp,10734,16345,96,-1,0,2625785
vienna-geo-advanced,G102a.stp,27896,43925,2003,-1,0,13172239
vienna-geo-advanced,G103a.stp,36270,57370,2930,-1,0,17265799
vienna-geo-advanced,G104a.stp,44251,70029,3776,-1,0,22497150
vienna-geo-advanced,G105a.stp,14586,22450,525,-1,0,10016185
vienna-geo-advanced,G106a.stp,62618,100067,5373,-1,0,38026998
vienna-geo-advanced,G107a.stp,15536,23858,893,-1,0,6333262
vienna-geo-advanced,G201a.stp,8286,12617,188,-1,0,3093567
vienna-geo-advanced,G202a.stp,14028,21610,985,-1,0,6100851
vienna-geo-advanced,G202a.stp,14028,21610,985,-1,0,6110609
vienna-geo-advanced,G203a.stp,25651,40610,1999,-1,0,12141726
vienna-geo-advanced,G203a.stp,25651,40610,1999,-1,0,12143410
vienna-geo-advanced,G204a.stp,9939,15249,376,-1,0,4659106
vienna-geo-advanced,G205a.stp,37398,59323,3146,-1,0,21916874
vienna-geo-advanced,G205a.stp,37398,59323,3146,-1,0,21927393
vienna-geo-advanced,G206a.stp,13688,21197,789,-1,0,8129065
vienna-geo-advanced,G206a.stp,13688,21197,789,-1,0,8131855
vienna-geo-advanced,G207a.stp,7565,11521,98,-1,0,1995354
vienna-geo-advanced,G301a.stp,13291,20261,181,-1,0,4036810
vienna-geo-advanced,G301a.stp,13291,20261,181,-1,0,4043167
vienna-geo-advanced,G302a.stp,24951,38647,1797,-1,0,11195633
vienna-geo-advanced,G302a.stp,24951,38647,1797,-1,0,11200013
vienna-geo-advanced,G303a.stp,37085,57711,2915,-1,0,23960196
vienna-geo-advanced,G303a.stp,37085,57711,2915,-1,0,23968758
vienna-geo-advanced,G304a.stp,15213,23329,403,-1,0,5678100
vienna-geo-advanced,G305a.stp,47016,73861,3809,-1,0,35378351
vienna-geo-advanced,G305a.stp,47016,73861,3809,-1,0,35385966
vienna-geo-advanced,G306a.stp,55423,87779,4766,-1,0,29079460
vienna-geo-advanced,G306a.stp,55423,87779,4766,-1,0,29100315
vienna-geo-advanced,G307a.stp,71184,113616,6107,-1,0,43586995
vienna-geo-advanced,G307a.stp,71184,113616,6107,-1,0,43592818
vienna-geo-advanced,G308a.stp,13298,20351,86,-1,0,3900529
vienna-geo-advanced,G309a.stp,18704,28851,868,-1,0,9528135
vienna-geo-advanced,G309a.stp,18704,28851,868,-1,0,9531169
vienna-geo-original,G101.stp,67966,82485,100,-1,0,3564599
vienna-geo-original,G101.stp,67966,82485,100,-1,0,3569259
vienna-geo-original,G102.stp,111707,160504,2052,-1,0,15657841
vienna-geo-original,G102.stp,111707,160504,2052,-1,0,15681751
vienna-geo-original,G103.stp,135543,201803,3033,-1,0,20536384
vienna-geo-original,G103.stp,135543,201803,3033,-1,0,20564550
vienna-geo-original,G104.stp,158212,240022,3914,-1,0,26944599
vienna-geo-original,G104.stp,158212,240022,3914,-1,0,26961509
vienna-geo-original,G105.stp,79244,101189,550,-1,0,12860280
vienna-geo-original,G105.stp,79244,101189,550,-1,0,12883752
vienna-geo-original,G106.stp,204621,318136,5556,-1,0,45717450
vienna-geo-original,G106.stp,204621,318136,5556,-1,0,45779909
vienna-geo-original,G107.stp,85568,114113,938,-1,0,7555654
